Name,Image,Type,Group,Race,Nation,Grade,Power,Critical,Shield,Skill,Gift,Effect,Flavor,Regulation,Number,Rarity,Illstrator
Stil Vampir,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_001EN.png,Normal Unit,Dark Irregulars,Vampire,Dark Zone,Grade 3,Power 10000,Critical 1,Shield 0,Twin Drive!!,-,"[AUTO](VC):At the beginning of your main phase, [Soul-Charge] 1, and this unit gets [Power] +2000 until end of turn.[ACT](VC/RC):[Soul-Blast 8 & Counter-Blast 5] Choose one of your opponent's rear-guards, and put that unit on your opponent's (VC), and at the beginning of the end phase of that turn, your opponent chooses a card from his or her soul, and rides it.",Know your limits! Black Downfall!,G-Regulation,BT03/001EN,RRR,芦田豊雄
"Demon World Marquis, Amon",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_002EN.png,Normal Unit,Dark Irregulars,Demon,Dark Zone,Grade 3,Power 10000,Critical 1,Shield 0,Twin Drive!!,-,"[CONT](VC):During your turn, this unit gets [Power] +1000 for each &ltDark Irregulars> in your soul.[ACT](VC):[Counter-Blast 1 & Choose one of your &ltDark Irregulars> rear-guards, and put it into your soul] Your opponent chooses one of his or her rear-guards, and retires it.",I'll show you what real power is like! Inferno Ritual!,G-Regulation,BT03/002EN,RRR,前田真宏
"Nightmare Doll, Alice",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_003EN.png,Normal Unit,Pale Moon,Workeroid,Dark Zone,Grade 3,Power 10000,Critical 1,Shield 0,Twin Drive!!,-,"[AUTO](RC):[Counter-Blast 1 & Put this unit into your soul] When this unit's attack hits, if you have a <Pale Moon> vanguard, you may pay the cost. If you do, choose a <Pale Moon> other than a card named ""Nightmare Doll, Alice"" from your soul, and call it to (RC).",A bad dream you'll never wake from! That's the Endless Nightmare!,G-Regulation,BT03/003EN,RRR,伊咲ウタ
"Ravenous Dragon, Gigarex",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_004EN.png,Normal Unit,Tachikaze,Dinodragon,Dragon Empire,Grade 3,Power 10000,Critical 1,Shield 0,Twin Drive!!,-,"[AUTO](VC/RC):During your turn, when another of your &ltTachikaze> rear-guards is put into the drop zone, this unit gets [Power] +1000 until end of turn.",Penetrate! Pierce! Needle Explosion!,G-Regulation,BT03/004EN,RRR,Daisuke Izuka
"Swordsman of the Explosive Flames, Palamedes",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_005EN.png,Normal Unit,Royal Paladin,Salamander,United Sanctuary,Grade 3,Power 10000,Critical 1,Shield 0,Twin Drive!!,-,"[AUTO](VC/RC):When this unit attacks, if the number of grade 3 &ltRoyal Paladin> vanguards and/or rear-guards you have is two or more, this unit gets [Power] +3000 until end of that battle.","When heroes rally, the battlefield will be engulfed in flames!",G-Regulation,BT03/005EN,RRR,前田ヒロユキ
"Goddess of the Full Moon, Tsukuyomi",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_006EN.png,Normal Unit,Oracle Think Tank,Noble,United Sanctuary,Grade 3,Power 11000,Critical 1,Shield 0,Twin Drive!!,-,"[CONT](VC/RC):If you do not have a card named ""Goddess of the Half Moon, Tsukuyomi"", a card named ""Goddess of the Crescent Moon, Tsukuyomi"", and a card named ""Godhawk, Ichibyoshi"" in your soul, this unit gets [Power] -2000.[ACT](VC):[Counter-Blast 2] If the number of &ltOracle Think Tank> in your soul is six or more, draw two cards, choose a card from your hand, and put it into your soul.","Calm the lost souls of darkness, and guide them to heaven! Moon Shadow Magatama!",G-Regulation,BT03/006EN,RRR,武井宏之
"Goddess of the Half Moon, Tsukuyomi",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_007EN.png,Normal Unit,Oracle Think Tank,Noble,United Sanctuary,Grade 2,Power 9000,Critical 1,Shield 5000,Intercept,-,"[AUTO]:When this unit is placed on (VC), if you have a card named ""Goddess of the Crescent Moon, Tsukuyomi"" and a card named ""Godhawk, Ichibyoshi"" in your soul, you may [Soul-Charge] 2.[AUTO](VC):At the beginning of your ride phase, look at five cards from the top of your deck, search for up to one card named ""Goddess of the Full Moon, Tsukuyomi"" from among them, ride it, and put the rest on the bottom of your deck in any order. If you rode, you cannot normal ride during that ride phase.","Close your eyes, and feel the light glowing deep within your heart. That is the light of hope.",G-Regulation,BT03/007EN,RRR,武井宏之
"Ultimate Lifeform, Cosmo Lord",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_008EN.png,Normal Unit,Nova Grappler,Alien,Star Gate,Grade 3,Power 10000,Critical 1,Shield 0,Twin Drive!!,-,"[ACT](VC):[Choose one of your &ltNova Grappler> rear-guards, and [Rest] it] This unit gets [Power] +3000 until end of turn.",The universe shall fuel my strength! Cosmo Drain!!,G-Regulation,BT03/008EN,RRR,Eel
Edel Rose,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_009EN.png,Normal Unit,Dark Irregulars,Vampire,Dark Zone,Grade 3,Power 9000,Critical 1,Shield 0,Twin Drive!!,-,"[ACT](VC):[Counter-Blast 2] If you have a card named ""Werwolf Sieger"" in your soul, this unit gets [Power] +5000/[Critical] +1 until end of turn.[ACT](Hand):[Reveal this card to your opponent, and put it on top of your deck] Search your deck for up to one card named ""Werwolf Sieger"", reveal it to your opponent, put it into your hand, and shuffle your deck.","Now, color me red! Scarlet Tear!",G-Regulation,BT03/009EN,RR,窪之内英策
Gwynn the Ripper,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_010EN.png,Normal Unit,Dark Irregulars,Elf,Dark Zone,Grade 2,Power 9000,Critical 1,Shield 5000,Intercept,-,"[AUTO]:[Counter-Blast 2] When this unit is placed on (VC) or (RC), if you have a &ltDark Irregulars> vanguard, you may pay the cost. If you do, choose one of your opponent's grade 2 or less rear-guards, and retire it.",Had enough? I'll let you rest in peace.,G-Regulation,BT03/010EN,RR,スズキゴロウ
